               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.022049,            0.009845,           0.0078982,             0.81952,             0.83535,             0.92351,             0.53299,            0.030805,           0.0071916,            0.010176,            0.002014,            0.002014,            0.002014
                 123,            0.020967,            0.010314,           0.0076276,             0.78141,             0.89163,             0.89382,             0.52661,            0.029584,           0.0064998,           0.0090278,            0.001948,            0.001948,            0.001948
                 124,            0.021498,            0.010454,           0.0070908,             0.81265,             0.88329,             0.93118,             0.49694,            0.033805,           0.0062648,           0.0091094,            0.001882,            0.001882,            0.001882
                 125,            0.020807,           0.0099224,           0.0064786,             0.87426,             0.84581,             0.93061,             0.51238,            0.032486,           0.0065028,           0.0081952,            0.001816,            0.001816,            0.001816
                 126,            0.021721,            0.010125,           0.0066302,             0.88337,             0.81018,             0.93399,             0.53714,            0.030842,           0.0062443,              0.0102,             0.00175,             0.00175,             0.00175
                 127,            0.020575,            0.010284,           0.0065229,             0.83314,             0.83161,             0.91361,             0.52097,            0.032599,           0.0066263,            0.011517,            0.001684,            0.001684,            0.001684
                 128,            0.020838,            0.010227,           0.0064077,             0.80382,             0.85868,             0.92536,             0.50596,            0.032772,           0.0060747,            0.011192,            0.001618,            0.001618,            0.001618
                 129,            0.020636,           0.0096921,           0.0055764,             0.81677,             0.83753,             0.91488,              0.5138,            0.033283,           0.0063585,            0.011563,            0.001552,            0.001552,            0.001552
                 130,            0.020309,           0.0099954,           0.0063378,             0.83894,             0.87075,             0.92513,             0.51761,            0.032088,           0.0064184,           0.0096436,            0.001486,            0.001486,            0.001486
                 131,            0.021163,            0.010173,           0.0066829,             0.81813,             0.88341,             0.93248,             0.50886,            0.031874,           0.0063614,           0.0090522,             0.00142,             0.00142,             0.00142
                 132,            0.020711,           0.0099492,           0.0058999,             0.75543,             0.91081,             0.94561,             0.52084,            0.032191,           0.0065848,            0.009223,            0.001354,            0.001354,            0.001354
                 133,            0.020441,           0.0096555,           0.0063443,             0.83512,             0.86746,             0.93789,             0.53028,            0.031922,           0.0062717,           0.0086123,            0.001288,            0.001288,            0.001288
                 134,            0.019777,           0.0099771,           0.0058431,             0.86402,             0.85526,             0.93245,             0.53234,            0.030527,            0.006268,           0.0094819,            0.001222,            0.001222,            0.001222
                 135,            0.020249,            0.010096,           0.0064093,             0.83649,             0.84402,             0.92658,             0.52981,            0.032361,           0.0062357,            0.010297,            0.001156,            0.001156,            0.001156
                 136,            0.019248,           0.0097192,           0.0055935,             0.85838,             0.83239,             0.92626,              0.5127,            0.031827,           0.0064809,            0.011904,             0.00109,             0.00109,             0.00109
                 137,            0.018618,           0.0095589,            0.007038,             0.79647,             0.87706,             0.91485,             0.52043,            0.030673,           0.0063404,            0.011521,            0.001024,            0.001024,            0.001024
                 138,            0.020222,           0.0096027,           0.0048788,             0.77817,             0.86505,             0.91229,             0.52058,            0.031973,           0.0062486,             0.01156,            0.000958,            0.000958,            0.000958
                 139,             0.02044,           0.0097011,           0.0054616,             0.85024,              0.8195,             0.86679,              0.5137,            0.030489,           0.0062233,            0.010047,            0.000892,            0.000892,            0.000892
                 140,            0.020176,           0.0097701,           0.0061804,             0.85473,             0.80557,             0.87529,             0.52011,             0.03105,           0.0062608,           0.0096971,            0.000826,            0.000826,            0.000826
                 141,             0.01923,           0.0098666,           0.0053042,             0.75351,             0.89616,             0.92792,             0.52048,            0.030459,           0.0063935,           0.0087161,             0.00076,             0.00076,             0.00076
                 142,            0.018643,           0.0099693,            0.005915,             0.91202,             0.72955,             0.85667,             0.50955,            0.030956,           0.0066028,            0.008836,            0.000694,            0.000694,            0.000694
                 143,            0.018674,           0.0097384,           0.0061351,             0.85385,             0.78565,              0.8565,             0.50705,            0.031252,           0.0066024,           0.0089811,            0.000628,            0.000628,            0.000628
                 144,            0.018774,           0.0098576,           0.0057284,             0.89957,             0.74699,              0.8568,             0.52137,            0.031159,           0.0063283,           0.0089008,            0.000562,            0.000562,            0.000562
                 145,            0.018799,           0.0092278,           0.0060171,              0.8941,             0.74951,             0.85466,             0.52763,             0.03048,           0.0064888,           0.0093387,            0.000496,            0.000496,            0.000496
                 146,            0.019259,           0.0095408,           0.0061862,                0.92,             0.74563,             0.85977,              0.5211,            0.029881,           0.0065428,           0.0091796,             0.00043,             0.00043,             0.00043
                 147,            0.018417,           0.0097295,           0.0066457,             0.91789,             0.73675,             0.85728,             0.50676,            0.030314,           0.0065305,           0.0099234,            0.000364,            0.000364,            0.000364
                 148,             0.01755,           0.0092827,           0.0056131,             0.90508,             0.74706,              0.8612,             0.52318,            0.030069,           0.0064195,            0.010015,            0.000298,            0.000298,            0.000298
                 149,            0.017569,           0.0092523,           0.0058262,             0.90262,              0.7462,             0.85594,             0.51075,            0.030577,           0.0064761,            0.010079,            0.000232,            0.000232,            0.000232
